"","ID","Dyad","obs","time","mod","Trial","ID_p","Dyad_p","obs_p","time_p","mod_p","Trial_p"
"164",1,1,592,77,3,4,501,1,788,77,3,4
"165",1,1,572,78,3,4,501,1,788,78,3,4
"166",1,1,586,79,3,4,501,1,840,79,3,4
"167",1,1,637,80,3,4,501,1,874,80,3,4
"168",1,1,694,81,3,4,501,1,1194,81,3,4
"169",1,1,666,1,3,5,501,1,NA,1,3,5
"170",1,1,692,2,3,5,501,1,928,2,3,5
"171",1,1,715,3,3,5,501,1,834,3,3,5
"172",1,1,662,4,3,5,501,1,814,4,3,5
"173",1,1,602.6667,5,3,5,501,1,1074,5,3,5
"174",1,1,609,6,3,5,501,1,982,6,3,5
"175",1,1,619,7,3,5,501,1,883,7,3,5
"176",1,1,712,8,3,5,501,1,929,8,3,5
"177",1,1,682,9,3,5,501,1,822,9,3,5
"178",1,1,689,10,3,5,501,1,828,10,3,5
"179",1,1,629,11,3,5,501,1,870,11,3,5
"180",1,1,548,12,3,5,501,1,831,12,3,5
"181",1,1,614,13,3,5,501,1,924,13,3,5
"182",1,1,663,14,3,5,501,1,852,14,3,5
"183",1,1,790,15,3,5,501,1,789,15,3,5
"184",1,1,727,16,3,5,501,1,774,16,3,5
"185",1,1,626,17,3,5,501,1,821,17,3,5
"186",1,1,590.6667,18,3,5,501,1,824,18,3,5
"187",1,1,597,19,3,5,501,1,772,19,3,5
"188",1,1,625,20,3,5,501,1,718,20,3,5
"189",1,1,616,21,3,5,501,1,782,21,3,5
"190",1,1,635.3333,22,3,5,501,1,1026,22,3,5
"191",1,1,634,23,3,5,501,1,870,23,3,5
"192",1,1,633,24,3,5,501,1,863,24,3,5
"193",1,1,630,25,3,5,501,1,796,25,3,5
"194",1,1,665,26,3,5,501,1,763,26,3,5
"195",1,1,720,27,3,5,501,1,854,27,3,5
"196",1,1,665,28,3,5,501,1,NA,28,3,5
"197",1,1,600,29,3,5,501,1,1008,29,3,5
"198",1,1,655,30,3,5,501,1,917,30,3,5
"199",1,1,724,31,3,5,501,1,958,31,3,5
"200",1,1,704,32,3,5,501,1,816,32,3,5
"201",1,1,658,33,3,5,501,1,821,33,3,5
"202",1,1,664,34,3,5,501,1,830,34,3,5
"203",1,1,663,35,3,5,501,1,922,35,3,5
"204",1,1,626,36,3,5,501,1,1160,36,3,5
"205",1,1,616,37,3,5,501,1,924,37,3,5
"206",1,1,661,38,3,5,501,1,856,38,3,5
"207",1,1,670,39,3,5,501,1,760,39,3,5
"208",1,1,615,40,3,5,501,1,NA,40,3,5
"209",1,1,643,41,3,5,501,1,1078,41,3,5
"210",1,1,640.6667,42,3,5,501,1,828,42,3,5
"211",1,1,602,43,3,5,501,1,802,43,3,5
"212",1,1,567,44,3,5,501,1,794,44,3,5
"213",1,1,616.6667,45,3,5,501,1,760,45,3,5
"214",1,1,656,46,3,5,501,1,732,46,3,5
"215",1,1,740,47,3,5,501,1,726,47,3,5
"216",1,1,710,48,3,5,501,1,1058,48,3,5
"217",1,1,665,49,3,5,501,1,878,49,3,5
"218",1,1,635,50,3,5,501,1,779,50,3,5
"219",1,1,638,51,3,5,501,1,782,51,3,5
"220",1,1,660,52,3,5,501,1,797,52,3,5
"221",1,1,655,53,3,5,501,1,842,53,3,5
"222",1,1,623,54,3,5,501,1,972,54,3,5
"223",1,1,610,55,3,5,501,1,824,55,3,5
"224",1,1,586.6667,56,3,5,501,1,778,56,3,5
"225",1,1,612,57,3,5,501,1,920,57,3,5
"226",1,1,645,58,3,5,501,1,786,58,3,5
"227",1,1,614,59,3,5,501,1,818,59,3,5
"228",1,1,635,60,3,5,501,1,940,60,3,5
"229",1,1,640,61,3,5,501,1,956,61,3,5
"230",1,1,752,62,3,5,501,1,868,62,3,5
"231",1,1,673,63,3,5,501,1,789,63,3,5
"232",1,1,601,64,3,5,501,1,784,64,3,5
"233",1,1,685,65,3,5,501,1,781,65,3,5
"234",1,1,743,66,3,5,501,1,810,66,3,5
"235",1,1,701,67,3,5,501,1,799,67,3,5
"236",1,1,666,68,3,5,501,1,NA,68,3,5
"237",1,1,644,69,3,5,501,1,1086,69,3,5
"238",1,1,657,70,3,5,501,1,875,70,3,5
"239",1,1,692,71,3,5,501,1,776,71,3,5
"240",1,1,665,72,3,5,501,1,894,72,3,5
"241",1,1,621,73,3,5,501,1,898,73,3,5
"242",1,1,626,74,3,5,501,1,832,74,3,5
"243",1,1,676,75,3,5,501,1,814,75,3,5
"244",1,1,668,76,3,5,501,1,869,76,3,5
"245",1,1,640,77,3,5,501,1,806,77,3,5
"246",1,1,662,78,3,5,501,1,932,78,3,5
"247",1,1,649,79,3,5,501,1,837,79,3,5
"248",1,1,618,80,3,5,501,1,778,80,3,5
"249",1,1,603,81,3,5,501,1,704,81,3,5
"250",1,1,656,82,3,5,501,1,708,82,3,5
"251",1,1,653,83,3,5,501,1,700,83,3,5
"252",1,1,606,84,3,5,501,1,724,84,3,5
"253",1,1,580,85,3,5,501,1,782,85,3,5
"254",1,1,588,86,3,5,501,1,788,86,3,5
"255",1,1,666,87,3,5,501,1,824,87,3,5
"256",1,1,642,88,3,5,501,1,818,88,3,5
"257",1,1,588.6667,89,3,5,501,1,852,89,3,5
"258",1,1,558,90,3,5,501,1,NA,90,3,5
"259",1,1,713,91,3,5,501,1,778,91,3,5
"260",1,1,722,92,3,5,501,1,870,92,3,5
"261",1,1,661,1,3,6,501,1,880,1,3,6
"262",1,1,660,2,3,6,501,1,958,2,3,6
"263",1,1,648,3,3,6,501,1,936,3,3,6
"264",1,1,614,4,3,6,501,1,878,4,3,6
"265",1,1,598,5,3,6,501,1,892,5,3,6
"266",1,1,621,6,3,6,501,1,974,6,3,6
"267",1,1,674,7,3,6,501,1,1002,7,3,6
"268",1,1,663,8,3,6,501,1,NA,8,3,6
"269",1,1,664,9,3,6,501,1,912,9,3,6
"270",1,1,697,10,3,6,501,1,824,10,3,6
"271",1,1,660,11,3,6,501,1,928,11,3,6
"272",1,1,638,12,3,6,501,1,1148,12,3,6
"273",1,1,607.3333,13,3,6,501,1,1092,13,3,6
"274",1,1,720,14,3,6,501,1,870,14,3,6
"275",1,1,710,15,3,6,501,1,872,15,3,6
"276",1,1,666,16,3,6,501,1,869,16,3,6
"277",1,1,609.3333,17,3,6,501,1,904,17,3,6
"278",1,1,639,18,3,6,501,1,954,18,3,6
"279",1,1,658,19,3,6,501,1,846,19,3,6
"280",1,1,612,20,3,6,501,1,870,20,3,6
"281",1,1,678,21,3,6,501,1,870,21,3,6
"282",1,1,735,22,3,6,501,1,876,22,3,6
"283",1,1,700,23,3,6,501,1,802,23,3,6
"284",1,1,654,24,3,6,501,1,736,24,3,6
"285",1,1,592,25,3,6,501,1,762,25,3,6
"286",1,1,715,26,3,6,501,1,810,26,3,6
"287",1,1,751,27,3,6,501,1,824,27,3,6
"288",1,1,650,28,3,6,501,1,876,28,3,6
"289",1,1,627,29,3,6,501,1,756,29,3,6
"290",1,1,653,30,3,6,501,1,718,30,3,6
"291",1,1,640,31,3,6,501,1,766,31,3,6
"292",1,1,594,32,3,6,501,1,904,32,3,6
"293",1,1,640,33,3,6,501,1,878,33,3,6
"294",1,1,657,34,3,6,501,1,906,34,3,6
"295",1,1,731,35,3,6,501,1,820,35,3,6
"296",1,1,707,36,3,6,501,1,763,36,3,6
"297",1,1,681,37,3,6,501,1,938,37,3,6
"298",1,1,646,38,3,6,501,1,565,38,3,6
"299",1,1,698,39,3,6,501,1,852,39,3,6
"300",1,1,672,40,3,6,501,1,906,40,3,6
"301",1,1,675,41,3,6,501,1,864,41,3,6
"302",1,1,642,42,3,6,501,1,920,42,3,6
"303",1,1,649,43,3,6,501,1,912,43,3,6
"304",1,1,770,44,3,6,501,1,900,44,3,6
"305",1,1,724,45,3,6,501,1,776,45,3,6
"306",1,1,755,46,3,6,501,1,780,46,3,6
"307",1,1,754,47,3,6,501,1,780,47,3,6
"308",1,1,718,48,3,6,501,1,835,48,3,6
"309",1,1,680,49,3,6,501,1,810,49,3,6
"310",1,1,674,50,3,6,501,1,828,50,3,6
"311",1,1,656,51,3,6,501,1,786,51,3,6
"312",1,1,636.6667,52,3,6,501,1,797,52,3,6
"313",1,1,690,53,3,6,501,1,884,53,3,6
"314",1,1,671,54,3,6,501,1,914,54,3,6
"315",1,1,686,55,3,6,501,1,826,55,3,6
"316",1,1,624.6667,56,3,6,501,1,832,56,3,6
"317",1,1,582,57,3,6,501,1,785,57,3,6
"318",1,1,574,58,3,6,501,1,858,58,3,6
"319",1,1,602,59,3,6,501,1,868,59,3,6
"320",1,1,650,60,3,6,501,1,773,60,3,6
"321",1,1,704,61,3,6,501,1,1032,61,3,6
"322",1,1,660,62,3,6,501,1,808,62,3,6
"323",1,1,668,63,3,6,501,1,861,63,3,6
"324",1,1,701,64,3,6,501,1,882,64,3,6
"325",1,1,764,65,3,6,501,1,798,65,3,6
"326",1,1,730,66,3,6,501,1,798,66,3,6
"327",1,1,711,67,3,6,501,1,956,67,3,6
"328",1,1,729,68,3,6,501,1,910,68,3,6
"329",1,1,686,69,3,6,501,1,957,69,3,6
"330",1,1,715,70,3,6,501,1,874,70,3,6
"331",1,1,738,71,3,6,501,1,828,71,3,6
"332",1,1,686,72,3,6,501,1,830,72,3,6
"333",1,1,720,73,3,6,501,1,792,73,3,6
"334",1,1,679,74,3,6,501,1,803,74,3,6
"335",1,1,639,75,3,6,501,1,760,75,3,6
"336",1,1,672,76,3,6,501,1,769,76,3,6
"337",1,1,738,77,3,6,501,1,758,77,3,6
"338",1,1,711,78,3,6,501,1,771,78,3,6
"339",1,1,704,79,3,6,501,1,774,79,3,6
"340",1,1,660,80,3,6,501,1,736,80,3,6
"341",1,1,653,81,3,6,501,1,751,81,3,6
"342",1,1,654,82,3,6,501,1,1066,82,3,6
"343",1,1,746,83,3,6,501,1,826,83,3,6
"344",1,1,760,84,3,6,501,1,782,84,3,6
"345",1,1,659,85,3,6,501,1,NA,85,3,6
"346",1,1,652,86,3,6,501,1,964,86,3,6
"347",1,1,750,87,3,6,501,1,885,87,3,6
"348",1,1,793,88,3,6,501,1,854,88,3,6
"349",1,1,718,89,3,6,501,1,854,89,3,6
"350",1,1,656,90,3,6,501,1,796,90,3,6
"351",1,1,649.3333,91,3,6,501,1,766,91,3,6
"352",1,1,636,92,3,6,501,1,861,92,3,6
"353",1,1,701,93,3,6,501,1,958,93,3,6
"354",1,1,670,94,3,6,501,1,780,94,3,6
"355",1,1,630,95,3,6,501,1,805,95,3,6
"356",1,1,584,96,3,6,501,1,890,96,3,6
"357",1,1,737,97,3,6,501,1,828,97,3,6
"358",1,1,744,98,3,6,501,1,752,98,3,6
"359",1,1,684,99,3,6,501,1,730,99,3,6
"360",1,1,671,100,3,6,501,1,824,100,3,6
"361",1,1,654,101,3,6,501,1,880,101,3,6
"362",1,1,632.6667,102,3,6,501,1,643.3333,102,3,6
"363",1,1,679,103,3,6,501,1,840,103,3,6
"364",1,1,662,104,3,6,501,1,816,104,3,6
"365",1,1,709,105,3,6,501,1,825,105,3,6
"366",1,1,728,106,3,6,501,1,904,106,3,6
"367",1,1,727,107,3,6,501,1,852,107,3,6
"368",1,1,752,108,3,6,501,1,802,108,3,6
"369",1,1,777,109,3,6,501,1,808,109,3,6
"370",1,1,688,110,3,6,501,1,919,110,3,6
"371",1,1,656,111,3,6,501,1,NA,111,3,6
"372",1,1,642,112,3,6,501,1,1104,112,3,6
"373",1,1,633,113,3,6,501,1,853,113,3,6
"374",1,1,671,114,3,6,501,1,798,114,3,6
"375",1,1,655,115,3,6,501,1,807,115,3,6
"376",1,1,638,116,3,6,501,1,824,116,3,6
"377",1,1,620,117,3,6,501,1,798,117,3,6
"378",1,1,658,118,3,6,501,1,808,118,3,6
"379",1,1,675,119,3,6,501,1,1048,119,3,6
"380",1,1,736,120,3,6,501,1,866,120,3,6
"381",1,1,653,1,3,7,501,1,854,1,3,7
"382",1,1,670,2,3,7,501,1,869,2,3,7
"383",1,1,654,3,3,7,501,1,868,3,3,7
"384",1,1,637,4,3,7,501,1,801,4,3,7
"385",1,1,679,5,3,7,501,1,734,5,3,7
"386",1,1,737,6,3,7,501,1,816,6,3,7
"387",1,1,702,7,3,7,501,1,864,7,3,7
"388",1,1,684,8,3,7,501,1,880,8,3,7
"389",1,1,639,9,3,7,501,1,863,9,3,7
"390",1,1,686,10,3,7,501,1,NA,10,3,7
"391",1,1,700,11,3,7,501,1,880,11,3,7
"392",1,1,684,12,3,7,501,1,780,12,3,7
"393",1,1,676,13,3,7,501,1,798,13,3,7
"394",1,1,728,14,3,7,501,1,810,14,3,7
"395",1,1,744,15,3,7,501,1,868,15,3,7
"396",1,1,733,16,3,7,501,1,984,16,3,7
"397",1,1,666,17,3,7,501,1,858,17,3,7
"398",1,1,687,18,3,7,501,1,744,18,3,7
"399",1,1,689,19,3,7,501,1,711,19,3,7
"400",1,1,721,20,3,7,501,1,812,20,3,7
"401",1,1,682,21,3,7,501,1,816,21,3,7
"402",1,1,699,22,3,7,501,1,764,22,3,7
"403",1,1,737,23,3,7,501,1,775,23,3,7
"404",1,1,686,24,3,7,501,1,716,24,3,7
"405",1,1,711,25,3,7,501,1,746,25,3,7
"406",1,1,704,26,3,7,501,1,830,26,3,7
"407",1,1,713,27,3,7,501,1,772,27,3,7
"408",1,1,739,28,3,7,501,1,862,28,3,7
"409",1,1,694,29,3,7,501,1,1014,29,3,7
"410",1,1,702,30,3,7,501,1,789,30,3,7
"411",1,1,748,31,3,7,501,1,802,31,3,7
"412",1,1,760,32,3,7,501,1,934,32,3,7
"413",1,1,690,33,3,7,501,1,885,33,3,7
"414",1,1,647.3333,34,3,7,501,1,784,34,3,7
"415",1,1,677,35,3,7,501,1,752,35,3,7
"416",1,1,712,36,3,7,501,1,776,36,3,7
"417",1,1,746,37,3,7,501,1,845,37,3,7
"418",1,1,714,38,3,7,501,1,838,38,3,7
"419",1,1,632,39,3,7,501,1,788,39,3,7
"420",1,1,704,40,3,7,501,1,921,40,3,7
"421",1,1,721,41,3,7,501,1,1052,41,3,7
"422",1,1,667,42,3,7,501,1,836,42,3,7
"423",1,1,665,43,3,7,501,1,870,43,3,7
"424",1,1,680,44,3,7,501,1,841,44,3,7
"425",1,1,657.3333,45,3,7,501,1,832,45,3,7
"426",1,1,768,46,3,7,501,1,812,46,3,7
"427",1,1,682,47,3,7,501,1,830,47,3,7
"428",1,1,731,48,3,7,501,1,978,48,3,7
"429",1,1,734,49,3,7,501,1,894,49,3,7
"430",1,1,660,50,3,7,501,1,904,50,3,7
"431",1,1,682,51,3,7,501,1,894,51,3,7
"432",1,1,733,52,3,7,501,1,1060,52,3,7
"433",1,1,739,53,3,7,501,1,1030,53,3,7
"434",1,1,738,54,3,7,501,1,924,54,3,7
"435",1,1,746,55,3,7,501,1,NA,55,3,7
"436",1,1,675,56,3,7,501,1,926,56,3,7
"437",1,1,626,57,3,7,501,1,890,57,3,7
"438",1,1,805,58,3,7,501,1,866,58,3,7
"439",1,1,822,59,3,7,501,1,NA,59,3,7
"440",1,1,747,60,3,7,501,1,903,60,3,7
"441",1,1,693,61,3,7,501,1,824,61,3,7
"442",1,1,658,62,3,7,501,1,820,62,3,7
"443",1,1,602,63,3,7,501,1,782,63,3,7
"444",1,1,622,64,3,7,501,1,779,64,3,7
"445",1,1,742,65,3,7,501,1,840,65,3,7
"446",1,1,727,66,3,7,501,1,898,66,3,7
"447",1,1,770,67,3,7,501,1,806,67,3,7
"448",1,1,661,68,3,7,501,1,882,68,3,7
"449",1,1,721,69,3,7,501,1,840,69,3,7
"450",1,1,779,70,3,7,501,1,830,70,3,7
"451",1,1,774,71,3,7,501,1,762,71,3,7
"452",1,1,706,72,3,7,501,1,721,72,3,7
"453",1,1,730,73,3,7,501,1,698,73,3,7
"454",1,1,701,74,3,7,501,1,822,74,3,7
"455",1,1,669,75,3,7,501,1,NA,75,3,7
"456",1,1,788,76,3,7,501,1,944,76,3,7
"457",1,1,719,77,3,7,501,1,806,77,3,7
"458",1,1,687,78,3,7,501,1,NA,78,3,7
"459",1,1,661,79,3,7,501,1,944,79,3,7
"460",1,1,644,80,3,7,501,1,828,80,3,7
"461",1,1,683,81,3,7,501,1,738,81,3,7
"462",1,1,689,82,3,7,501,1,752,82,3,7
"463",1,1,648,83,3,7,501,1,NA,83,3,7
"464",1,1,642,84,3,7,501,1,1134,84,3,7
"465",1,1,778,85,3,7,501,1,879,85,3,7
"466",1,1,772,86,3,7,501,1,758,86,3,7
"467",1,1,718,87,3,7,501,1,767,87,3,7
"468",1,1,726,88,3,7,501,1,836,88,3,7
"469",1,1,726,89,3,7,501,1,787,89,3,7
"470",1,1,740,90,3,7,501,1,776,90,3,7
"471",1,1,754,91,3,7,501,1,900,91,3,7
"472",1,1,731,92,3,7,501,1,870,92,3,7
"473",1,1,720,93,3,7,501,1,796,93,3,7
"474",1,1,685,94,3,7,501,1,955,94,3,7
"475",1,1,710,95,3,7,501,1,549,95,3,7
"476",1,1,698,96,3,7,501,1,942,96,3,7
"477",1,1,714,97,3,7,501,1,904,97,3,7
"478",1,1,725,98,3,7,501,1,796,98,3,7
"479",1,1,716,99,3,7,501,1,857,99,3,7
"480",1,1,668,100,3,7,501,1,912,100,3,7
"481",1,1,NA,101,3,7,501,1,964,101,3,7
"482",1,1,711,102,3,7,501,1,980,102,3,7
"483",1,1,724,103,3,7,501,1,854,103,3,7
"484",1,1,708,104,3,7,501,1,809,104,3,7
"485",1,1,695,105,3,7,501,1,790,105,3,7
"486",1,1,715,106,3,7,501,1,870,106,3,7
"487",1,1,696,107,3,7,501,1,920,107,3,7
"488",1,1,757,108,3,7,501,1,825,108,3,7
"489",1,1,744,109,3,7,501,1,912,109,3,7
"490",1,1,720,110,3,7,501,1,898,110,3,7
"491",1,1,691,111,3,7,501,1,807,111,3,7
"492",1,1,718,112,3,7,501,1,792,112,3,7
"493",1,1,722,113,3,7,501,1,986,113,3,7
"494",1,1,742,114,3,7,501,1,816,114,3,7
"495",1,1,716,115,3,7,501,1,796,115,3,7
"496",1,1,700,116,3,7,501,1,912,116,3,7
"497",1,1,716,117,3,7,501,1,800,117,3,7
"498",1,1,699,118,3,7,501,1,818,118,3,7
"499",1,1,653,119,3,7,501,1,962,119,3,7
"500",1,1,749,120,3,7,501,1,879,120,3,7
"501",501,1,772,1,3,3,1,1,632.6667,1,3,3
"502",501,1,709,2,3,3,1,1,638,2,3,3
"503",501,1,686,3,3,3,1,1,672,3,3,3
"504",501,1,740,4,3,3,1,1,654,4,3,3
"505",501,1,884,5,3,3,1,1,620,5,3,3
"506",501,1,878,6,3,3,1,1,581,6,3,3
